company_name,website,phone,detections,stations,sample_offer,notes,vertical
St. Christopher Truckers Relief Fund,truckersfund.org; trucksfund.org,,34,kabc-am-790; wbap-am-820; whbo-1040; wwtn-fm-997,"12 week wellness program, vaccine vouchers",Reclassified from other: financial terms in name. Non-financial (other). 34 detections. Archived for future offers.,unknown_financial_review
Wesley Financial Group,,8002522929; 8002966868; 8003292121; 8007471515; 8008386767; 8008596688; 8009099696,31,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,timeshare cancellation kit,Non-financial (unknown_financial_review). 31 detections. Archived for future offers.,unknown_financial_review
American Financing,americanfinancing.net; americanfinancing.net/hannity; americanfinancing.net/levin; americanfinancing.net/slash eric,8666159200; 8668869262; 8889001828; 8889947623; 8889947660,15,klif-am-570; ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,Smart Equity Loan for debt relief and lower monthly payments,Non-financial (unknown_financial_review). 15 detections. Archived for future offers.,unknown_financial_review
Trajan Wealth,trajanwealth.com,18558725261; 3463713330; 8558725261; 8558729611,15,ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750,free financial advisor evaluation,Non-financial (unknown_financial_review). 15 detections. Archived for future offers.,unknown_financial_review
Coast One Financial Group,,8002423186,11,klif-am-570; wbap-am-820; whbo-1040,IRS tax debt protection and settlement,Non-financial (unknown_financial_review). 11 detections. Archived for future offers.,unknown_financial_review
Cowley Financial Group,cowleyfinancialgroup.com,8885425211,10,wbap-am-820,free no-obligation appointment for retirement planning,Non-financial (unknown_financial_review). 10 detections. Archived for future offers.,unknown_financial_review
Hoffman Financial Group,unleashyourmoney.com,4046405511,8,wsb-am-750,Replace My Paycheck Challenge,Non-financial (unknown_financial_review). 8 detections. Archived for future offers.,unknown_financial_review
DFW Retirement Planners,d-f-w retirement planners.com; dfwretirementplanners.com,8887744492265,5,wbap-am-820,complimentary consultation and second opinion on annuities,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.,unknown_financial_review
Nicholas Wealth Management,nicholaswealth.com,678990850; 6789908500; 8506988500,5,wsb-am-750,retire ready consultation,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.,unknown_financial_review
Lockwood Capital,lockwoodcapgroup.com,,5,woai-am-1200,commercial real estate investment opportunities with a local faith-based partner,Non-financial (unknown_financial_review). 5 detections. Archived for future offers.,unknown_financial_review
"Trajan Wealth, LLC",trajanewealth.com; trajanwealth.com,18558725261; 8558724361; 8558725261,5,woai-am-1200; wsb-am-750,complimentary consultation and interest-free financing for water softener,Reclassified from other: financial terms in name. Non-financial (other). 5 detections. Archived for future offers.,unknown_financial_review
Retirement Through Design,https://www.retirementthroughdesign.com; retirementthroughdesign.com; retirementthru.design.com,8004991658,4,kabc-am-790,free custom portfolio review,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.,unknown_financial_review
Hoffman financial group,unleashyourmoney.com,4046405511,4,wsb-am-750,"free estimate, portfolio analysis",Non-financial (unknown_financial_review). 4 detections. Archived for future offers.,unknown_financial_review
Vincent Financial Group,,7707410120,4,wsb-am-750,initial consultation for financial advice,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.,unknown_financial_review
Secure Financial Management,clearskiesretirement.com; retire210.com; retire2ten.com,2109856200,4,woai-am-1200,,Non-financial (unknown_financial_review). 4 detections. Archived for future offers.,unknown_financial_review
Trajan Wealth LLC,trajanewealth.com; trajanwealth.com,8558724361; 8558725261,4,woai-am-1200,"complimentary consultation, private market opportunities, fiduciary services",Non-financial (unknown_financial_review). 4 detections. Archived for future offers.,unknown_financial_review
DTN Wealth Planning,dtnwealthplanning.com,8174004200; 8174386752,3,klif-am-570,,Non-financial (unknown_financial_review). 3 detections. Archived for future offers.,unknown_financial_review
Nicklaus Wealth Management,nicklauswealth.com,6789908500,2,wsb-am-750,complimentary consultation for retirement planning,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Oak Harvest Financial Group,southernfront.com,,2,ktrh-am-740,build retirement income,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Cali Financial Group,,8885425211,2,wbap-am-820,free no obligation appointment for retirement planning,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Pivotal Financial,,6156148460,2,wwtn-fm-997,risk analysis for retirement portfolio,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Main Street Wealth Management Group,,7134932200,2,ktrh-am-740,trust and investment management services,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Boer Capital Management,"knowyourriskpodcast.com; knowyourriskpodcast.com, boercapitalmanagement.com",,2,wibc-fm-931,free portfolio review,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Howard Bailey Financial,,8884945004,2,wibc-fm-931,get your retire with purpose toolkit,Non-financial (unknown_financial_review). 2 detections. Archived for future offers.,unknown_financial_review
Nicholas wealth management,,6789908500,1,wsb-am-750,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Leer Capital,leercapital.com,,1,ktrh-am-740,free gold investment kit,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
McGowan Group Wealth Management,networthradio.com,,1,klif-am-570,upgrade your financial plan for the next 10 years,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Oak Harvest financial group,,7132125874,1,ktrh-am-740,retirement planning and investment advisory services,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
Lear Capital,learcapital.com,,1,ktrh-am-740,free gold investment kit,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
McGowan Group Asset Management Inc,networthradio.com,,1,klif-am-570,,Non-financial (unknown_financial_review). 1 detections. Archived for future offers.,unknown_financial_review
