keyword,company_name,vertical,reporting_status,storage_status,future_offer_potential,detections,stations,website,phone,first_seen,last_seen,sample_offer,source_fields,notes
viome,Viome,health_supplement,store_only,keep_active,medium,91,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; wibc-fm-931; woai-am-1200; wsb-am-750,"afp hannity dot com; afp hannity dot com a f p hannity dot com; ghostbed.com; v-i-o-m-e slash hannity, v-i-o-m-e dot com slash hannity; v-i-o-m-e slash hannity. v-i-o-m-e dot com slash hannity; v-i-o-m-e.com slash hannity; vioeme slash panity. v-i-o-m-e dot com slash panity; viome.com; viome.com slash hannity, v-i-o-m-e.com slash hannity; viome.com/gut; viome.com/gut, viome.com slash g-u-t; viome.com/hanity; viome.com/hannity; viome.com/k-n-o-w; viome.com/know; viome.com/panity; viome.com/slash hannity; viome.com/slash hannity, viome.com/slash hannity; viome.com/slash-hanity, viome-slash-panity; viome.com/slash-hannity; viome.com/slash-know; viome.com/slash-know, viome.com/slash-no; viome.com/slash-no-v-as-in-victor-i-o-m-e.com/slash-k-n-o-w",,1781199020.3869414,1781984765.6430755,$50 off at Viome.com,company_name + websites + offers,Non-financial (health_supplement). 91 detections. Archived for future offers.
relief factor,Relief Factor,health_supplement,store_only,keep_active,medium,55,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200; wwtn-fm-997,relieffactor.com,18004735433; 8004353433; 8004354353; 8004356237; 80043567432; 8004734333; 8004734356; 8004734357; 8004735; 8004735433; 8004736433; 8004743543; 8004776236; 804735323,1781157131.8931057,1781955275.0969331,$17.76 for a three-week quick start,company_name + websites + offers,Non-financial (health_supplement). 55 detections. Archived for future offers.
ethos,Ethos,insurance,report_now,keep_active,high,52,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750; wwtn-fm-997,"ethos.com; ethos.com-slash-term; ethos.com/slash term, ethos.com/slash save; ethos.com/slash-save; ethos.com/slash-term; ethos.com/term",18668368735; 8005759379; 8008294357,1781149920.653461,1781985198.9818778,"fast and online life insurance application, free quote",company_name + websites + offers,Financial vertical: insurance. 52 detections across radio.
lifelock,LifeLock,identity_protection,report_now,keep_active,medium,50,klif-am-570; ktrh-am-740; wibc-fm-931; woai-am-1200; wsb-am-750,https://www.lifelock.com/; life-lock.com; lifelock.com,180054335625; 8002522929; 80054335625; 8005436562,1781210277.912006,1781948631.4028986,identity theft protection with savings,company_name + websites + offers,Financial vertical: identity_protection. 50 detections across radio.
cumulus digital,Cumulus Digital,media_internal,store_only,keep_archive,medium,47,kabc-am-790; klif-am-570; wbap-am-820,cumulus digital.com; cumulusdigital.com,,1781141673.4195604,1781951149.6841354,precise marketing results,company_name + websites + offers,Non-financial (media_internal). 47 detections. Archived for future offers.
hollywood suits,Hollywood Suits,retail,store_only,keep_active,medium,46,kabc-am-790,hollywoodsuits.com,1800462626; 18007848799; 18009687837; 8005559999; 8005837846; 8005838784; 80059999; 8007828999; 8007848799; 8888822247,1781218670.5760732,1781977682.844896,3 wool suits for $599 with free accessories,company_name + websites + offers,Non-financial (retail). 46 detections. Archived for future offers.
ziprecruiter,ZipRecruiter,jobs_recruiting,store_only,keep_active,medium,40,kabc-am-790; klif-am-570; wbap-am-820; whbo-1040; wibc-fm-931; woai-am-1200; wsb-am-750,null; ziprecruiter.com; ziprecruiter.com slash free; ziprecruiter.com/fre; ziprecruiter.com/free; ziprecruiter.com/slash; ziprecruiter.com/slash free; ziprecruiter.com/slash-free,8886309625,1781141259.8230433,1781979819.0724075,free trial for job recruitment,company_name + websites + offers,Non-financial (jobs_recruiting). 40 detections. Archived for future offers.
metashare,Metashare,saas_b2b,store_only,keep_active,medium,39,whbo-1040,,8557427340; 8557436440; 8557437440; 8772624253,1781145843.0328622,1781958611.0858178,save on health care costs and increase satisfaction,company_name + offers,Non-financial (saas_b2b). 39 detections. Archived for future offers.
tax relief advocates,Tax Relief Advocates,tax_relief,report_now,keep_active,high,35,kabc-am-790; klif-am-570; ktrh-am-740; wbap-am-820; whbo-1040; woai-am-1200; wsb-am-750,healthylooking.com; t.r.a.com; tra.com,8005037944; 8005508178; 8005517672; 8005751789; 8005759379; 8005759871; 8005781558; 8006112046; 800611246; 805759379,1781142634.5220072,1781981471.2088425,eliminate or reduce tax debt with IRS programs,company_name + websites + offers,Financial vertical: tax_relief. 35 detections across radio.
st. christopher truckers relief fund,St. Christopher Truckers Relief Fund,unknown_financial_review,manual_review,keep_active,medium,34,kabc-am-790; wbap-am-820; whbo-1040; wwtn-fm-997,truckersfund.org; trucksfund.org,,1781157221.5635247,1781948027.4605672,"12 week wellness program, vaccine vouchers",company_name + websites + offers,Reclassified from other: financial terms in name. Non-financial (other). 34 detections. Archived for future offers.
puretalk,PureTalk,unknown_general_review,store_only,keep_active,medium,32,klif-am-570; ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,connecticutsa.com; ttt.org,2106567873; 25064276; 8009417326,1781149755.996606,1781983122.54138,unlimited high speed data for $34.99 a month,company_name + websites + offers,"Legitimate company, non-financial. Optional review. Non-financial (other). 32 detections. Archived for future offers."
