keyword,company,vertical,priority,score,detections,action,reason,suggested_keywords
tax relief advocates,Tax Relief Advocates,tax_relief,P0_test_now,15.0,35,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 35 detections on radio",tax relief advocates; tax relief advocates reviews; tax relief advocates complaints; tax relief advocates cost; tax relief advocates price
optima tax relief,Optima Tax Relief,tax_relief,P0_test_now,14.8,28,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 28 detections on radio",optima tax relief; optima tax relief reviews; optima tax relief complaints; optima tax relief cost; optima tax relief price
ethos,Ethos,insurance,P0_test_now,14.0,52,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 52 detections on radio",ethos; ethos reviews; ethos complaints; ethos cost; ethos price
tax relief advocates (tra),Tax Relief Advocates (TRA),tax_relief,P0_test_now,14.0,15,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 15 detections on radio",tax relief advocates (tra); tax relief advocates (tra) reviews; tax relief advocates (tra) complaints; tax relief advocates (tra) cost; tax relief advocates (tra) price
coast one tax group,Coast One Tax Group,debt_relief,P0_test_now,13.8,10,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 10 detections on radio",coast one tax group; coast one tax group reviews; coast one tax group complaints; coast one tax group cost; coast one tax group price
amco,Amco,tax_relief,P0_test_now,13.5,16,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 16 detections on radio",amco; amco reviews; amco complaints; amco cost; amco price
"supersure insurance agency, llc","SuperSure Insurance Agency, LLC",insurance,P0_test_now,13.3,23,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 23 detections on radio","supersure insurance agency, llc; supersure insurance agency, llc reviews; supersure insurance agency, llc complaints; supersure insurance agency, llc cost; supersure insurance agency, llc price"
lifelock,LifeLock,identity_protection,P0_test_now,13.0,50,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"identity_protection opportunity, 50 detections on radio",lifelock; lifelock reviews; lifelock complaints; lifelock cost; lifelock price
debt relief advocates,Debt Relief Advocates,debt_relief,P1_research_next,12.8,6,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"debt_relief opportunity, 6 detections on radio",debt relief advocates; debt relief advocates reviews; debt relief advocates complaints; debt relief advocates cost; debt relief advocates price
tax relief advocates (tra),Tax relief advocates (TRA),tax_relief,P1_research_next,12.8,5,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 5 detections on radio",tax relief advocates (tra); tax relief advocates (tra) reviews; tax relief advocates (tra) complaints; tax relief advocates (tra) cost; tax relief advocates (tra) price
tra (tax relief advocates),TRA (Tax Relief Advocates),tax_relief,P1_research_next,12.8,5,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 5 detections on radio",tra (tax relief advocates); tra (tax relief advocates) reviews; tra (tax relief advocates) complaints; tra (tax relief advocates) cost; tra (tax relief advocates) price
progressive casualty insurance company,Progressive Casualty Insurance Company,insurance,P1_research_next,12.5,14,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 14 detections on radio",progressive casualty insurance company; progressive casualty insurance company reviews; progressive casualty insurance company complaints; progressive casualty insurance company cost; progressive casualty insurance company price
progressive casualty insurance company and affiliates,Progressive Casualty Insurance Company and Affiliates,insurance,P1_research_next,12.5,14,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 14 detections on radio",progressive casualty insurance company and affiliates; progressive casualty insurance company and affiliates reviews; progressive casualty insurance company and affiliates complaints; progressive casualty insurance company and affiliates cost; progressive casualty insurance company and affiliates price
amco,AMCO,tax_relief,P1_research_next,12.5,8,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 8 detections on radio",amco; amco reviews; amco complaints; amco cost; amco price
powell tax law,Powell Tax Law,tax_relief,P1_research_next,12.5,4,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 4 detections on radio",powell tax law; powell tax law reviews; powell tax law complaints; powell tax law cost; powell tax law price
rush tax resolution,Rush Tax Resolution,tax_relief,P1_research_next,12.5,4,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"tax_relief opportunity, 4 detections on radio",rush tax resolution; rush tax resolution reviews; rush tax resolution complaints; rush tax resolution cost; rush tax resolution price
st. christopher truckers relief fund,St. Christopher Truckers Relief Fund,unknown_financial_review,P1_research_next,12.3,34,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"unknown_financial_review opportunity, 34 detections on radio",st. christopher truckers relief fund; st. christopher truckers relief fund reviews; st. christopher truckers relief fund complaints; st. christopher truckers relief fund cost; st. christopher truckers relief fund price
term busters,Term Busters,insurance,P1_research_next,12.3,13,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 13 detections on radio",term busters; term busters reviews; term busters complaints; term busters cost; term busters price
supersure insurance agency llc,SuperSure Insurance Agency LLC,insurance,P1_research_next,12.3,11,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 11 detections on radio",supersure insurance agency llc; supersure insurance agency llc reviews; supersure insurance agency llc complaints; supersure insurance agency llc cost; supersure insurance agency llc price
supersure,SuperSure,insurance,P1_research_next,12.3,10,SERP check → LP scrape → ad transparency search → domain check → trademark/reg review → affiliate offer match → generate keyword set,"insurance opportunity, 10 detections on radio",supersure; supersure reviews; supersure complaints; supersure cost; supersure price
morgan & morgan,Morgan & Morgan,legal_financial,P1_research_next,11.8,17,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"legal_financial opportunity, 17 detections on radio",morgan & morgan; morgan & morgan reviews; morgan & morgan complaints; morgan & morgan cost; morgan & morgan price
lifelock,Lifelock,identity_protection,P1_research_next,11.5,15,SERP check → LP scrape → ad transparency search → domain check → affiliate offer match → generate keyword set,"identity_protection opportunity, 15 detections on radio",lifelock; lifelock reviews; lifelock complaints; lifelock cost; lifelock price
