entity,vertical,keyword_type,keyword,match_type,notes
Tax Relief Advocates,tax_relief,brand_exact,tax relief advocates,exact,High CTR for branded queries
Tax Relief Advocates,tax_relief,brand_phrase,tax relief advocates,phrase,Capture brand + modifier queries
Tax Relief Advocates,tax_relief,brand_exact,tra tax relief,exact,High CTR for branded queries
Tax Relief Advocates,tax_relief,brand_phrase,tra tax relief,phrase,Capture brand + modifier queries
Tax Relief Advocates,tax_relief,brand_exact,tra.com,exact,High CTR for branded queries
Tax Relief Advocates,tax_relief,brand_phrase,tra.com,phrase,Capture brand + modifier queries
Tax Relief Advocates,tax_relief,generic_phrase,tax debt relief,phrase,Intent-driven generic traffic
Tax Relief Advocates,tax_relief,generic_broad,tax debt relief,broad,Explore new query patterns
Tax Relief Advocates,tax_relief,generic_phrase,irs tax help,phrase,Intent-driven generic traffic
Tax Relief Advocates,tax_relief,generic_broad,irs tax help,broad,Explore new query patterns
Tax Relief Advocates,tax_relief,generic_phrase,reduce tax debt,phrase,Intent-driven generic traffic
Tax Relief Advocates,tax_relief,generic_broad,reduce tax debt,broad,Explore new query patterns
Tax Relief Advocates,tax_relief,generic_phrase,tax settlement,phrase,Intent-driven generic traffic
Tax Relief Advocates,tax_relief,generic_broad,tax settlement,broad,Explore new query patterns
Tax Relief Advocates,tax_relief,generic_phrase,offer in compromise,phrase,Intent-driven generic traffic
Tax Relief Advocates,tax_relief,generic_broad,offer in compromise,broad,Explore new query patterns
Tax Relief Advocates,tax_relief,problem_phrase,irs wage garnishment help,phrase,High-intent problem-aware queries
Tax Relief Advocates,tax_relief,problem_phrase,stop irs levy,phrase,High-intent problem-aware queries
Tax Relief Advocates,tax_relief,problem_phrase,irs tax lien help,phrase,High-intent problem-aware queries
Tax Relief Advocates,tax_relief,problem_phrase,tax debt forgiveness,phrase,High-intent problem-aware queries
Tax Relief Advocates,tax_relief,negative,free tax filing,negative,Exclude cost-comparison or free-seekers
Tax Relief Advocates,tax_relief,negative,tax refund,negative,Exclude cost-comparison or free-seekers
Tax Relief Advocates,tax_relief,negative,where's my refund,negative,Exclude cost-comparison or free-seekers
Tax Relief Advocates,tax_relief,negative,irs phone number,negative,Exclude cost-comparison or free-seekers
Tax Relief Advocates,tax_relief,negative,how to file taxes,negative,Exclude cost-comparison or free-seekers
Optima Tax Relief,tax_relief,brand_exact,optima tax relief,exact,High CTR for branded queries
Optima Tax Relief,tax_relief,brand_phrase,optima tax relief,phrase,Capture brand + modifier queries
Optima Tax Relief,tax_relief,brand_exact,optima tax,exact,High CTR for branded queries
Optima Tax Relief,tax_relief,brand_phrase,optima tax,phrase,Capture brand + modifier queries
Optima Tax Relief,tax_relief,brand_exact,optimataxrelief,exact,High CTR for branded queries
Optima Tax Relief,tax_relief,brand_phrase,optimataxrelief,phrase,Capture brand + modifier queries
Optima Tax Relief,tax_relief,generic_phrase,tax relief,phrase,Intent-driven generic traffic
Optima Tax Relief,tax_relief,generic_broad,tax relief,broad,Explore new query patterns
Optima Tax Relief,tax_relief,generic_phrase,tax resolution,phrase,Intent-driven generic traffic
Optima Tax Relief,tax_relief,generic_broad,tax resolution,broad,Explore new query patterns
Optima Tax Relief,tax_relief,generic_phrase,irs tax settlement,phrase,Intent-driven generic traffic
Optima Tax Relief,tax_relief,generic_broad,irs tax settlement,broad,Explore new query patterns
Optima Tax Relief,tax_relief,generic_phrase,tax attorney near me,phrase,Intent-driven generic traffic
