station,chunk_id,start_ts,detection_id,is_ad,ad_category,company_name,website,phone_number,offer_summary,key_claims,confidence,transcript
klif-am-570,77118,1782224181.0592027,6164,1,credit_protection,incognito,go online to incognito,,remove personal information from data brokers,"[""make yourself harder to find for $7/month""]",0.92,"Candidate going against an established Hispanic leader in the Democratic leader. I wouldn't vote for his ballot But he's somebody that is known as a as a keem Jeffries partner and Jeffries is really running against her And people like Jamal Bowman. All right when we come back I'm going to be joined by Steve Moore former chief of staff at the US House of Representatives and founder of the Ukrainian Freedom Project would raise his money to aid Ukrainians who ladies and gentlemen are on a roll It's Brian Kilmeade I'm 70 kl if and 96 3 FM HD to Do you know how many data brokers have your information without your knowledge they have reams of data for me Charles hospitals social media sites Municipalities the list goes on those same brokers sell your data with hundreds of thousands of other people to anyone who wants it for pennies On the dollar so if you ever wondered why you're getting so many spam texts and emails from companies You've never heard of before if they find you they will scam you I recently signed up for incognito listen up They scrub my information from hundreds of sites, and they did it really fast They sent notices to hundreds of brokers demanding by law that your information be removed And they keep you updated every step of the way for me They removed my information from hundreds of sites so far it is funny You can cancel a stolen credit card in five minutes, but you cannot remove your home address It's crazy for about seven bucks a month You can make yourself harder to find seven bucks a month go online to incognito"
wbap-am-820,77107,1782223520.2418437,6163,1,,,WBAP.com,,seven night Alaskan cruise,"[""win a seven night Alaskan cruise""]",0.92,"all class eight Mac trucks for the North American market, according to the company. President Trump's American manufacturing is benefiting from his tariff policy, forcing more automotive companies to open U.S. plants. Affordability and the cost of living have emerged as top issues for voters ahead of the midterm elections, with polls showing most Americans are dissatisfied with President Trump's handling of the economy. At the White House, Jared Halpern, Fox News. Your money news brought to you by networthradio.com. Oracle plans to reduce its workforce by about 13 percent, cutting 21,000 employees this year. It's part of a broad restructuring. The company reported its largest ever quarterly numbers, but AI expansion and a contract backlog have exceeded its market value. Shares of Oracle are down more than two and a half percent this morning. Checking the numbers on Wall Street, the Dow is down 89 points. Nasdaq is off by 328 and the S&P 500 has dropped 65 points. Keep connect to DFW for the latest on the situation in the Middle East. For updates anytime, go to WBAP.com or our free mobile app on your home for WBAP's morning news, Newstalk 820 and 93.3 FM WBAP. I'm Monty Cook. WBAP salutes Glenn Heights. That's Glenn Heights. Go to WBAP.com slash secret contest or our free mobile app for your chance to win a seven night Alaskan cruise. Play as many times as you want. It's for special."
klif-am-570,77104,1782223289.5094633,6162,1,,,,,,"[""unlimited talk, text, and data for $70 a month"", ""unlimited plan for $34.99 a month from Pure Talk""]",0.92,"spend it how they want. Republican Senator Tim Sheehy tells Fox. They're not going to use it to rebuild their country. They're going to use it for build bullets, bombs, rockets, suicide vests, and to broadly kill Americans and kill Israelis. And Fox's Trey Yingst reports from Tel Aviv. We have seen a reduction in the tension between Israel and Hezbollah, another key point in this broader memorandum of understanding. The Israelis say they did take some action against Hezbollah gunmen earlier today that were threatening their forces. Iran-backed Hezbollah claims Israel shot at civilians and breached the ceasefire. The president also posted this morning, the Strait of Hormuz is open. There was record oil shipping yesterday, 19 million barrels of oil. Prices are down again, 1% continuing to fall from the surge during the conflict on Wall Street, though, a sell-off. The NASDAQ's down more than 300 points. Later today, the president goes to Pennsylvania touting American manufacturing at a Mack truck assembly plant, the same one President Biden went to five years ago, promoting his manufacturing policies. America's listening to Fox News. If you want unlimited talk, text, and data on a crazy fast network, Big Wireless will sell it to you right now for as little as $70 a month, or you can buy it from Pure Talk for half of that. I'm talking about unlimited talk, text, and unlimited data for just $34.99 a month. Stop paying the big guys twice what you need to. Dial pound 250, say my name, that's pound 250 micro to switch to Pure Talk, where the savings are truly unlimited. Unlimited. Oh, shh, shh, here he comes. Surprise! There's an avocado shortage! Now half your food truck menu is costing more than it's-"
klif-am-570,77094,1782219546.1675622,6161,1,insurance,Progressive Casualty Insurance Company,progressivecommercial.com,,discounts on commercial auto insurance,"[""save thirteen percent on commercial auto insurance when you pay in full""]",0.85,exclusively from the u s it's primary day in utah maryland and new york where several socialist and progressive candidates are hoping to follow zoron mondani's lead after he was elected socialist mayor of new york city we're doing that again because this movement is unstoppable claire valdez has mondani's support so do several others in races for seats in congress there are runoffs today in south carolina too america's listening to fox news if you want unlimited talk text and data on a crazy fast network big wireless will sell it to you right now for as little as seventy dollars a month or you can buy it from pure talk for half of that i'm talking about unlimited talk text and unlimited data for just thirty four ninety nine a month stop paying the big guys twice what you need to dial pound two fifty say my name that's pound two five oh micro to switch to pure talk where the savings are truly unlimited progressive knows small business owners usually don't like surprises because they cost you money but a good surprise saving thirteen percent on commercial auto insurance when you pay in full also an ice cream truck stole your parking spot looks like you're in a turf war surprise yourself see if you can save in as little as eight minutes at progressive commercial dot com progressive casualty insurance company discounts not available in all states or situations the hammer alley podcast an eighties flashback mockumentary how did they go
klif-am-570,77083,1782216028.9687624,6160,1,insurance,Progressive Casualty Insurance Company and Affiliates,progressivecommercial.com,,save on commercial auto insurance,"[""save 13% when paying in full""]",0.85,"President Trump likes the Republicans running for governor so much, he endorses both. A big trade in the NBA ahead of the draft tonight, the Milwaukee Bucks sending star Gianna Sonta to come vote in the Miami Heat for players and draft picks. America's listening to Fox News. If you want unlimited talk, text, and data on a crazy fast network, Big Wireless will sell it to you right now for as little as $70 a month, or you can buy it from Pure Talk for half of that. I'm talking about unlimited talk, text, and unlimited data for just $34.99 a month. Stop paying the big guys twice what you need to. Dial pound 250, say my name, that's pound 250, micro, to switch to Pure Talk, where the savings are truly unlimited. Shh, shh, here it comes. Surprise, there's an avocado shortage. Now half your food truck menu is costing more than it's making you. Also, you're out of napkins. Those aren't cheap. Progressive knows small business owners usually don't like surprises, because they cost you money. But a good surprise? Saving 13% on commercial auto insurance when you pay in full. Also, an ice cream truck stole your parking spot. Looks like you're in a turf war. Surprise yourself, see if you can save in as little as eight minutes at progressivecommercial.com. Progressive Casualty Insurance Company and Affiliates. Discounts not available in all states or situations. This is Woman's Work with Nicole Kalil. I wish you health, physical, mental, emotional, financial, social, and most definitely spiritual. Redefining what it means to be doing woman's work. I would rather have the temporary pain of discomfort than the avoidable pain of regret. But hear me."
wbap-am-820,77073,1782211297.8204427,6159,1,insurance,,NoTimeToWait.com,,,"[""support businesses at every step"", ""insights and expertise""]",0.85,"about five times. Symptoms like a regular heartbeat, heart racing, chest pain, shortness of breath, fatigue, or lightheadedness can come and go. But if it's AFib, the risk of stroke remains. If you have symptoms, contact a doctor. I'm so glad I did. Visit NoTimeToWait.com sponsored by Bristol-Myers Squibb and Pfizer. From the FIFA World Cup to competitive business environments, grand ambitions lead to game-changing achievements. At Bank of America, we're there to support businesses at every step, providing insights and expertise to help you gain an edge. What would you like the power to do? Explore winning business solutions at bofa.com slash game changers. Bank of America, official bank of the FIFA World Cup 2026. All right, we have Matthew and Garland who's going to play today. Three choices, 2002, 2003, 2004. Now, Matthew, Monty wanted to help, but Hal pushed him out of the way and says, I'm going to handle this. Good luck. You're going to make it. Are you ready for me? Hal, I love you, my friend. I can't wait. I trust you 100%. Here we go. That's his first mistake. Let it go. Why did you say that? Oh, no reason. This group, this band named Jimmy Eat World. What do you think they ate? The world? Yeah. Okay. That let's see what else? American Idol, but the Elizabeth smart thing is what kind of."
wbap-am-820,77071,1782211161.0402896,6158,1,debt_relief,,,,,"[""contact a doctor for atrial fibrillation symptoms""]",0.92,you you have to listen to the clues they're forthcoming okay and then you need to be able to tell us based on those clues what year was it just pray for us it was June right for her teenager Elizabeth smart is kidnapped in Utah from her Salt Lake City home on TV I am Ryan Seacrest and I'm Brian Dunkleman it's the debut of the very first American Idol welcome to American Idol the show that's on a mission to discover the next superstar at the movies placing you under arrest with future murder of Sarah Marx and Donald Newman Tom Cruise stars in Minority Report come on John and top 10 on the radio Jimmy Eat World with the middle what year was it 2002 2003 or 2004 all right let's find a winner coming up why'd I go to the doctor working on the farm my heart kept skipping a beat I didn't think much of it but my daughters made me get checked out turns out I have atrial fibrillation which increases the risk of stroke about five times symptoms like a regular heartbeat heart racing chest pain shortness of breath fatigue or light headedness can come and go but if it's a fib the risk of stroke remains if you have symptoms contact a doctor I'm so glad I did visit no time to wait calm sponsored by Bristol Myers Squibb and Pfizer from the FIFA World Cup to competitive business environments grand ambitions
wbap-am-820,77038,1782208661.848047,6157,1,insurance,,,,,"[""Prevagen works for regular people"", ""life insurance provides for family""]",0.85,"I don't want it sullied by politics like some European. So please, politicians, from progressives to prat, give it a rest with turning our beloved sports franchises into competing tabloid newspapers. Leave us this one, this one pure thing that we can share. I promise there will be plenty left to argue over. This is David Marcus, Fox News digital columnist and author of Charade, the COVID lies that crushed a nation. You've been listening to the Fox News Rundown. To hear the podcast version of this program, go to FoxNewsPodcasts.com and for all the latest news, go to FoxNews.com. Greg is a real Prevagen user and this is his story. Hi, I'm Greg. I'm not an actor, I'm just a regular person. Eight years ago, I just didn't feel like I was on my game. I started taking Prevagen and I want people to know that Prevagen has worked for me. Give it a try. I want it to help you just like it has helped me. Prevagen, at stores everywhere without a prescription. This product is not intended to diagnose, treat, cure or prevent any disease. Testimonialist was compensated for their time. So Ryan and I came to the decision to get life insurance when I was pregnant with our first son. He really wanted us to be taken care of if something happened to him. He provided for our family in life and also after his death."
wbap-am-820,77025,1782208080.845344,6156,1,insurance,Ethos,ethos.com/slash-term,,life insurance quote and application,"[""fast and 100% online"", ""get a quote in seconds"", ""apply in minutes"", ""same day coverage"", ""no medical exams"", ""up to $3 million worth of coverage""]",0.92,"Call Wesley now for your timeshare exit kit. 800-515-1771. That's 800-515-1771. 800-515-1771. My name is Whitney Allen and I'm a widow. My husband, Ryan died. We never thought we'd ever have to use life insurance, but the unexpected happened. With Ethos, signing up was fast and 100% online. You can get a quote in seconds, apply in minutes, and get same day coverage. No medical exams, and you can get up to $3 million worth of coverage. I'm grateful we were prepared. Get your free quote at Ethos.com slash term. That's Ethos.com slash term. Aid spokesperson. Time spent on application may vary. Online health questions required. Are you having trouble hearing? Hearing loss can devastate the quality of your life. Now there's an affordable fix for you or your loved one. Rated the best hearing aids of 2026 by Forbes Health. Audian Hearing has the highest quality hearing aids at the lowest prices, starting at just $98 a pair. I actually like them better than my old $5,000 hearing aid. I could not believe how my hearing and life changed. Join over 1 million happy customers by going to AudianHearing.com. That's A-U-D-I-E-N, hearing.com. Fox on set. The Department of War has designated Anthropic as a supply chain risk. This means defense vendors and contractors have to show that they don't use Anthropic's models in their work with the Pentagon. Anthropic is the first American company to be publicly named a supply chain risk. Fox Business spoke to a member of..."
wbap-am-820,77023,1782207978.5176897,6155,1,debt_relief,Wesley Financial Group,,8005151771,timeshare cancellation services,"[""cancel timeshares"", ""free timeshare exit kit""]",0.95,"for all your support. I know that the vast majority of Americans have supported us, and God bless you all. Good morning, DFW. WBAP's morning news is next at five. Wesley Financial Group is not a law firm. Ask yourself this question. Is it really worth holding onto that timeshare that you know you need to get rid of? Here's the truth. The average maintenance fee just went up over 17%. That could have been 117%, and there's nothing you can do about it. When you buy a timeshare, you give them a blank check for annual maintenance and assessment fees. I'm Chuck McDowell, founder of Wesley Financial Group. For 15 years, I've helped over 50,000 families cancel their timeshare. Not sell it, not transfer it, cancel it. Did you buy a timeshare because they told you it was a great investment and your maintenance fees would never go up? That's a lie. Are you ready to get rid of your timeshare once and for all? Simply call us, and I'll send you our timeshare exit kit that explains all your options for cancellation. Call Wesley now for your timeshare exit kit. 800-515-1771, that's 800-515-1771, 800-515-1771. My name is Whitney Allen, and I'm a widow. My husband, Ryan, died. We never thought we'd ever have to use life insurance, but the unexpected happened. With Ethos, signing up was fast and 100% online. You can get a quote in seconds, apply."
