source,station,chunk_id,start_ts,keyword,context_excerpt,detection_id,ad_category,company_name,website,phone_number,offer_summary,confidence,transcript,manual_label,manual_note
keyword_hit,wbap-am-820,77064,1782210206.8971102,loan,"[confidence=0.65] ...now, I didn't know that what do you call it for a loan right now? Okay. Yeah Great question. Tell him he...",,,,,,,,"He didn't want to try to beat him out. Oh, that's so sweet. Oh my goodness. Well you are one crowd. Oh, I tell you what Baba and I've cried You know It's just it's fantastic. So you're gonna have to buy the plane now. I mean, let's just uh, yeah be cheaper Two ways about that anybody want to go in with me and buy a Gulfstream 7 and I'm in okay All right. That's uh, that's a lot of trips to Corvallis, but I would imagine that there'll be what we'll make a few With a scholarship don't they don't they include things like tickets to? To the game and and maybe flight. Oh, yeah. Yeah, they can do that now now that I don't know but tickets. Yeah, they'll include Family passes and everything. Did he get some in I only I don't think it's that I didn't ask You know, I didn't know that what do you call it for a loan right now? Okay. Yeah Great question. Tell him he needs to go for QB because that's where the big cash is. Okay I'll call him here in just a little while technically if he gets the big cash if he plays QB Yeah, you can just stay in college forever forever. Yeah, seven eight years. Yeah Seven years of college. Yeah Do you know if you play two years of college it doesn't it doesn't a two years of junior college and doesn't apply to Your other years so you can play six years of football So you play two years of junior college four years in regular college And if you get a redshirt year or a medical year You can't put you could almost you can't say seven",false_positive,loan word in talk/aviation context; no consumer loan ad
keyword_hit,wbap-am-820,77025,1782208080.845344,timeshare exit,[confidence=0.90] Call Wesley now for your timeshare exit kit. 800-515-1771. That's 800-515-1771. 800-515-1...,6156,insurance,Ethos,ethos.com/slash-term,,life insurance quote and application,0.92,"Call Wesley now for your timeshare exit kit. 800-515-1771. That's 800-515-1771. 800-515-1771. My name is Whitney Allen and I'm a widow. My husband, Ryan died. We never thought we'd ever have to use life insurance, but the unexpected happened. With Ethos, signing up was fast and 100% online. You can get a quote in seconds, apply in minutes, and get same day coverage. No medical exams, and you can get up to $3 million worth of coverage. I'm grateful we were prepared. Get your free quote at Ethos.com slash term. That's Ethos.com slash term. Aid spokesperson. Time spent on application may vary. Online health questions required. Are you having trouble hearing? Hearing loss can devastate the quality of your life. Now there's an affordable fix for you or your loved one. Rated the best hearing aids of 2026 by Forbes Health. Audian Hearing has the highest quality hearing aids at the lowest prices, starting at just $98 a pair. I actually like them better than my old $5,000 hearing aid. I could not believe how my hearing and life changed. Join over 1 million happy customers by going to AudianHearing.com. That's A-U-D-I-E-N, hearing.com. Fox on set. The Department of War has designated Anthropic as a supply chain risk. This means defense vendors and contractors have to show that they don't use Anthropic's models in their work with the Pentagon. Anthropic is the first American company to be publicly named a supply chain risk. Fox Business spoke to a member of...",false_positive,timeshare exit plus Ethos life insurance; excluded verticals
keyword_hit,wbap-am-820,77023,1782207978.5176897,maintenance fees,[confidence=0.60] ...they told you it was a great investment and your maintenance fees would never go up? That's a lie. Are you ready to...,6155,debt_relief,Wesley Financial Group,,8005151771,timeshare cancellation services,0.95,"for all your support. I know that the vast majority of Americans have supported us, and God bless you all. Good morning, DFW. WBAP's morning news is next at five. Wesley Financial Group is not a law firm. Ask yourself this question. Is it really worth holding onto that timeshare that you know you need to get rid of? Here's the truth. The average maintenance fee just went up over 17%. That could have been 117%, and there's nothing you can do about it. When you buy a timeshare, you give them a blank check for annual maintenance and assessment fees. I'm Chuck McDowell, founder of Wesley Financial Group. For 15 years, I've helped over 50,000 families cancel their timeshare. Not sell it, not transfer it, cancel it. Did you buy a timeshare because they told you it was a great investment and your maintenance fees would never go up? That's a lie. Are you ready to get rid of your timeshare once and for all? Simply call us, and I'll send you our timeshare exit kit that explains all your options for cancellation. Call Wesley now for your timeshare exit kit. 800-515-1771, that's 800-515-1771, 800-515-1771. My name is Whitney Allen, and I'm a widow. My husband, Ryan, died. We never thought we'd ever have to use life insurance, but the unexpected happened. With Ethos, signing up was fast and 100% online. You can get a quote in seconds, apply.",false_positive,Wesley timeshare cancellation; excluded timeshare/debt-relief adjacent
keyword_hit,wbap-am-820,77023,1782207978.5176897,timeshare exit,"[confidence=0.90] ...nd for all? Simply call us, and I'll send you our timeshare exit kit that explains all your options for cancellati...",6155,debt_relief,Wesley Financial Group,,8005151771,timeshare cancellation services,0.95,"for all your support. I know that the vast majority of Americans have supported us, and God bless you all. Good morning, DFW. WBAP's morning news is next at five. Wesley Financial Group is not a law firm. Ask yourself this question. Is it really worth holding onto that timeshare that you know you need to get rid of? Here's the truth. The average maintenance fee just went up over 17%. That could have been 117%, and there's nothing you can do about it. When you buy a timeshare, you give them a blank check for annual maintenance and assessment fees. I'm Chuck McDowell, founder of Wesley Financial Group. For 15 years, I've helped over 50,000 families cancel their timeshare. Not sell it, not transfer it, cancel it. Did you buy a timeshare because they told you it was a great investment and your maintenance fees would never go up? That's a lie. Are you ready to get rid of your timeshare once and for all? Simply call us, and I'll send you our timeshare exit kit that explains all your options for cancellation. Call Wesley now for your timeshare exit kit. 800-515-1771, that's 800-515-1771, 800-515-1771. My name is Whitney Allen, and I'm a widow. My husband, Ryan, died. We never thought we'd ever have to use life insurance, but the unexpected happened. With Ethos, signing up was fast and 100% online. You can get a quote in seconds, apply.",false_positive,duplicate chunk for Wesley timeshare cancellation
keyword_hit,wbap-am-820,77014,1782206543.8661134,tax relief,"[confidence=0.85] ...ra.com or call 800-575-9379. That's 800-575-9379. Tax relief advocates, real solutions for real people. Findin...",6154,tax_relief,Tax Relief Advocates,tra.com,8005759379,,0.95,"and helping individuals fix their IRS problems. We have over 1,000 five-star reviews on Google and an A-plus with the Better Business Bureau. You don't need to be afraid of the IRS any longer. End your tax nightmare today by visiting us online at tra.com or call 800-575-9379. That's 800-575-9379. Tax relief advocates, real solutions for real people. Finding great candidates to hire can be like, well, trying to find a needle in a haystack. Sure, you can post your job to some job board, but then all you can do is hope the right person comes along, which is why you should try ZipRecruiter for free at ziprecruiter.com slash free. ZipRecruiter doesn't depend on candidates finding you. It finds them for you. Its powerful technology identifies people with the right experience and actively invites them to apply to your job. You get qualified candidates fast. So while other companies might deliver a lot of hay, ZipRecruiter finds you what you're looking for, the needle in the haystack. See why four out of five employers who post a job in ZipRecruiter get a quality candidate within the first day. ZipRecruiter, the smartest way to hire. And right now you can try ZipRecruiter for free. That's right, free at ziprecruiter.com slash free. That's ziprecruiter.com slash free. Ziprecruiter.com slash free. ZipRecruiter. You never know who might be taking the quiz.",false_positive,Tax Relief Advocates; tax relief excluded
keyword_hit,wbap-am-820,76986,1782204934.3640935,stop collections,[confidence=0.80] ...our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of...,6146,tax_relief,US Tax Shield,,8007859132,price protection guaranteed quote for tax settlement,0.85,"at US tax shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future US tax shield offers a price protection guaranteed quote to get you protected today US tax shield is a plus rated with the better business bureau so call now 800-785-9132 that's 800-785-9132 US tax shield 800-785-9132 And now, new on FM at 93.3. We're in Iredia, he is Eric Carley and I'm Gary McNamara. So yeah, I wanted to at least bring that up yesterday because it's so important to to know you know we get we get so involved with the everyday current event things that we'll be covering as we always do during every show but I think it's important to look at and say okay the the Democrat Socialists of America which are the Mendonnies, the AOCs, the Bernie Sanders, the Platners, you know and a bunch of other Democrats even if they're not a part of the DSA they're not going to challenge them.",false_positive,US Tax Shield; tax relief excluded
keyword_hit,wbap-am-820,76984,1782204800.2893279,unfiled tax returns,"[confidence=0.95] ...es? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is th...",6145,tax_relief,Coast One Financial Group,,8002423186,tax debt relief and settlement services,0.95,"Protecting your bank, home, and your sleep since 2008. With hundreds of 5-star reviews and an A-plus on the Better Business Bureau, call Coast One Tax Group, 800-242-3186. Stanley from New York owed $93,000. The IRS placed a levy on his bank account. Coast One released the levy and settled with the IRS for $2,000. Mark in Michigan owed $225,000. After Coast One stepped in, Mark walked away paying less than $1,500. Call Coast One now. A 10-minute call can save you up to 93% on your back taxes. Get your fresh start today. That's 800-242-3186. Sponsored by Coast One Financial Group. Individuals and businesses with tax problems, listen carefully. Do you feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A plus rated with the Better Business Bureau.",false_positive,Coast One tax relief; excluded
keyword_hit,wbap-am-820,76984,1782204800.2893279,stop collections,[confidence=0.80] ...Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of...,6145,tax_relief,Coast One Financial Group,,8002423186,tax debt relief and settlement services,0.95,"Protecting your bank, home, and your sleep since 2008. With hundreds of 5-star reviews and an A-plus on the Better Business Bureau, call Coast One Tax Group, 800-242-3186. Stanley from New York owed $93,000. The IRS placed a levy on his bank account. Coast One released the levy and settled with the IRS for $2,000. Mark in Michigan owed $225,000. After Coast One stepped in, Mark walked away paying less than $1,500. Call Coast One now. A 10-minute call can save you up to 93% on your back taxes. Get your fresh start today. That's 800-242-3186. Sponsored by Coast One Financial Group. Individuals and businesses with tax problems, listen carefully. Do you feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A plus rated with the Better Business Bureau.",false_positive,duplicate Coast One tax relief keyword
keyword_hit,wbap-am-820,76984,1782204800.2893279,back taxes,[confidence=0.80] .... A 10-minute call can save you up to 93% on your back taxes. Get your fresh start today. That's 800-242-3186....,6145,tax_relief,Coast One Financial Group,,8002423186,tax debt relief and settlement services,0.95,"Protecting your bank, home, and your sleep since 2008. With hundreds of 5-star reviews and an A-plus on the Better Business Bureau, call Coast One Tax Group, 800-242-3186. Stanley from New York owed $93,000. The IRS placed a levy on his bank account. Coast One released the levy and settled with the IRS for $2,000. Mark in Michigan owed $225,000. After Coast One stepped in, Mark walked away paying less than $1,500. Call Coast One now. A 10-minute call can save you up to 93% on your back taxes. Get your fresh start today. That's 800-242-3186. Sponsored by Coast One Financial Group. Individuals and businesses with tax problems, listen carefully. Do you feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the fresh start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A plus rated with the Better Business Bureau.",false_positive,duplicate Coast One tax relief keyword
keyword_hit,wbap-am-820,76957,1782203274.3114252,unfiled tax returns,"[confidence=0.95] ...es? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is th...",6139,tax_relief,U.S. Tax Shield,,8007859132,"negotiate tax settlement, stop IRS collections",0.95,"Feel like you're losing control of your finances? If you owe over $10,000 in back taxes or have unfiled tax returns, we can help you take back control. The IRS is the largest and most aggressive collection agency in the world, and they can seize your bank accounts, garnish your paycheck, close your business, and file criminal charges. Take control of your tax problem now by calling the experts at U.S. Tax Shield and take advantage of the Fresh Start program and new laws that may allow us to negotiate a settlement for the lowest amount possible. Our team of tax attorneys and enrolled agents can stop collections and get you protected so you can take control of your financial future. U.S. Tax Shield offers a price protection guaranteed quote to get you protected today. U.S. Tax Shield is A-plus rated with the Better Business Bureau, so call now. 800-785-9132. That's 800-785-9132. U.S. Tax Shield, 800-785-9132. Where would I radio? He's here. I'm Gary McNamara. I know that if somebody's an independent or leans left or whatever, they probably would listen to us at times and just say, well, that's just over the top rhetoric about the Democrats. And we're like, we're not making an allegation.",false_positive,US Tax Shield back taxes/unfiled returns; excluded
