keyword,company_name,vertical,priority,opportunity_score,radio_evidence,commercial_intent,offer_fit,search_ads_test,risk_score,detections,n_stations,website,phone,next_step
tax relief advocates,Tax Relief Advocates,tax_relief,P0_test_now,15.0,4.5,4.5,5.0,4.5,3.5,35,7,healthylooking.com; t.r.a.com; tra.com,8005037944; 8005508178; 8005517672; 8005751789; 8005759379; 8005759871; 8005781558; 8006112046; 800611246; 805759379,Build LP → test Google Ads tax relief keywords → affiliate offer
optima tax relief,Optima Tax Relief,tax_relief,P0_test_now,14.8,4.3,4.5,5.0,4.5,3.5,28,3,optima tax relief calm; optima tax relief.com; optima-tax-relief.com; optimataxrelief.com,8003436460; 8003752577; 8007461744; 8008968155; 8155551234,Build LP → test Google Ads tax relief keywords → affiliate offer
ethos,Ethos,insurance,P0_test_now,14.0,5.0,4.0,4.0,4.0,3.0,52,9,"ethos.com; ethos.com-slash-term; ethos.com/slash term, ethos.com/slash save; ethos.com/slash-save; ethos.com/slash-term; ethos.com/term",18668368735; 8005759379; 8008294357,Check if Ethos/SuperSure has affiliate program → SERP analysis → test
tax relief advocates (tra),Tax Relief Advocates (TRA),tax_relief,P0_test_now,14.0,3.5,4.5,5.0,4.5,3.5,15,6,tra.com; tra.org,8005037944; 8005508178; 8005517672; 8005751789; 8005759379; 8005759871; 8005781558; 8006112046; 805759379,Build LP → test Google Ads tax relief keywords → affiliate offer
coast one tax group,Coast One Tax Group,debt_relief,P0_test_now,13.8,3.3,4.5,5.0,4.5,3.5,10,3,,8002423186,Research debt relief affiliate network → LP → ads test
amco,Amco,tax_relief,P0_test_now,13.5,3,4.5,5.0,4.5,3.5,16,1,amco.com,1800462626,Build LP → test Google Ads tax relief keywords → affiliate offer
"supersure insurance agency, llc","SuperSure Insurance Agency, LLC",insurance,P0_test_now,13.3,4.3,4.0,4.0,4.0,3.0,23,4,supersure.com; supersure.com/clay; supersure.com/hannity; supersure.com/slash hanity; supersure.com/slash hannity; supersure.com/slash hannity today; supersure.com/slash-barry; supersure.com/slash-jesse; supersure.com/slash-play,,Check if Ethos/SuperSure has affiliate program → SERP analysis → test
lifelock,LifeLock,identity_protection,P0_test_now,13.0,5.0,3.5,3.5,3.5,2.5,50,5,https://www.lifelock.com/; life-lock.com; lifelock.com,180054335625; 8002522929; 80054335625; 8005436562,Competitor SERP analysis → LP angle → test brand+generic
debt relief advocates,Debt Relief Advocates,debt_relief,P1_research_next,12.8,2.3,4.5,5.0,4.5,3.5,6,3,,8005259369; 8008004357,SERP check → domain ownership → competitor ads → classify offer
tax relief advocates (tra),Tax relief advocates (TRA),tax_relief,P1_research_next,12.8,2.3,4.5,5.0,4.5,3.5,5,4,,18005759379; 8005759871; 805759379,SERP check → domain ownership → competitor ads → classify offer
tra (tax relief advocates),TRA (Tax Relief Advocates),tax_relief,P1_research_next,12.8,2.3,4.5,5.0,4.5,3.5,5,4,tra.com,8005508178; 8005759871,SERP check → domain ownership → competitor ads → classify offer
progressive casualty insurance company,Progressive Casualty Insurance Company,insurance,P1_research_next,12.5,3.5,4.0,4.0,4.0,3.0,14,6,progressive commercial.com; progressivecommercial.com,18007859618,SERP check → domain ownership → competitor ads → classify offer
progressive casualty insurance company and affiliates,Progressive Casualty Insurance Company and Affiliates,insurance,P1_research_next,12.5,3.5,4.0,4.0,4.0,3.0,14,6,progressive.com; progressivecommercial.com,,SERP check → domain ownership → competitor ads → classify offer
amco,AMCO,tax_relief,P1_research_next,12.5,2,4.5,5.0,4.5,3.5,8,1,amco.com,1800462626,SERP check → domain ownership → competitor ads → classify offer
powell tax law,Powell Tax Law,tax_relief,P1_research_next,12.5,2,4.5,5.0,4.5,3.5,4,1,powelltaxlaw.com,2812982916,SERP check → domain ownership → competitor ads → classify offer
rush tax resolution,Rush Tax Resolution,tax_relief,P1_research_next,12.5,2,4.5,5.0,4.5,3.5,4,2,rush tax resolution.com solution.com; rush-tax-resolution.com; rushtaxresolution.com,8002998077; 875547874877554,SERP check → domain ownership → competitor ads → classify offer
