station,chunk_id,start_ts,end_ts,status,transcript_id,asr_duration_ms,transcript
klif-am-570,77118,1782224181.0592027,1782224271.0592027,done,26923,5006,"Candidate going against an established Hispanic leader in the Democratic leader. I wouldn't vote for his ballot But he's somebody that is known as a as a keem Jeffries partner and Jeffries is really running against her And people like Jamal Bowman. All right when we come back I'm going to be joined by Steve Moore former chief of staff at the US House of Representatives and founder of the Ukrainian Freedom Project would raise his money to aid Ukrainians who ladies and gentlemen are on a roll It's Brian Kilmeade I'm 70 kl if and 96 3 FM HD to Do you know how many data brokers have your information without your knowledge they have reams of data for me Charles hospitals social media sites Municipalities the list goes on those same brokers sell your data with hundreds of thousands of other people to anyone who wants it for pennies On the dollar so if you ever wondered why you're getting so many spam texts and emails from companies You've never heard of before if they find you they will scam you I recently signed up for incognito listen up They scrub my information from hundreds of sites, and they did it really fast They sent notices to hundreds of brokers demanding by law that your information be removed And they keep you updated every step of the way for me They removed my information from hundreds of sites so far it is funny You can cancel a stolen credit card in five minutes, but you cannot remove your home address It's crazy for about seven bucks a month You can make yourself harder to find seven bucks a month go online to incognito"
klif-am-570,77116,1782224098.0588284,1782224188.0588284,done,26922,4472,"the crime and the homelessness in San Francisco. You hope some of that comes in, but if you elect these Mondami-like figures that want to blame society for society's ills and say the problem is billionaires, I think you're going to have nothing but failed cities. Here's Zohra M. M. Donnie talking about immigration. Listen to what he actually says proudly. Cut 22. I've been clear that I'm proud of our sanctuary city status. We are not going to allow the city to become the civil immigration enforcement arm of a federal government that is hell-bent on a deportation regime that would rip families apart across the city. Or get criminals out. Tell us who's in your prisons that broke the law, came here as a criminal and continued to be a criminal. We're going to do that. Deportation arm, yeah. If you're overstaying your visa, if you've committed a crime, you're gone. But what these people are running on is absolutely crazy. Listen to the first two lines from Brad Lander. This is a despicable former New York City comptroller, Democratic candidate, tried to run for mayor, fell flat in his face. Listen to this guy, cut 26. And our solidarity, it doesn't end at the Hudson or at the Potomac. Our solidarity stretches out to Cuba and Venezuela and it stretches to Gaza. Really, it stretches, these are the people that you're running on? Are you insane? Gaza, run by Hamas?"
wbap-am-820,77114,1782223937.2186198,1782224027.2186198,done,26920,5049,"conflicts that will come up. We feel great about that. We're working with our allies from the Israelis to the Gulf Arabs to make sure that sticks. And we feel very, very good about where that is. We have the Iranians allowing weapons inspectors, nuclear inspectors into the country for the first time in a long time. We're obviously going to bolster those inspections that inspection regime to make sure they could never have a nuclear weapon. And finally, we continue to make progress on these technical negotiations. We left a lot of our team. The Iranians left a lot of their team at the resort there to keep on working at. So all in all, a very productive 36 hours, we're going to have to keep working at the last point that I make is, as I told you all this morning, this is laying a foundation for what could be a truly transform Middle East, a truly transform Middle East. Now, do you think that the vice president just talking out his backside? It's a question to ask, right? The who, what, when, where, how and why. We have to question everything. That's what the press is supposed to be for. The press in this country is supposed to hold the people in power accountable. They're supposed to write about what is taking place based on the facts of the story, not some narrative that they want to bring forth to convince you that something or some something's working or not working. You've got the vice president going, we're excited about the inspectors being allowed in. We're excited about where the negotiations are taking us. We're excited about it."
klif-am-570,77115,1782223860.369154,1782223950.369154,done,26921,4853,"the economy to roll. I would like to move this into the backdrop and I would like just to see how this plays out and let's see if both parties can go out and go win midterm election. It's not going to be easy regardless. The best hope the Republicans have is for the Democrats to continue to back the Socialists, for all the energy to go with the Mondawmies, the Bernie Sanders, the AOCs. It works out because I just don't believe traveling like I do, knowing our audience like we do, knowing that we got a good New York audience, but I know the Midwest really supports this network and down south especially, you talk to people and they think we're crazy up here, even entertaining the thought of having a socialist. Now, Austin's a little crazy and a little left in Texas, but that's for Texas. You just want clear thinking people are going to be open to law and order like what happened with the mayor, I keep citing this, the mayor in San Francisco, a guy comes in, he's a Democrat, nobody thinks he's a Republican, but he's just trying to get some sense of law and order and get rid of the lawlessness, the massive break-ins with cars and the crime and the homelessness in San Francisco. You hope some of that comes in, but if you elect these Mondami-like figures that want to blame society for society's ills and say the problem is billionaires, I think you're going to have nothing but failed cities. Here's Zora M.M. Donnie talking about immigration. Listen to what he actually says"
wbap-am-820,77113,1782223854.218226,1782223944.218226,done,26919,5590,"Death to America. They chanted it in their parliament or their government or whatever that is. And really what we want to do is we just want to truly reform Middle East. Don't take my word for it. Here's Vice President J.D. Vance saying it. Take a listen. Well, again, I feel great about the progress that we've made over the last couple of days. We're looking forward to going back home. It's been a very long day. I know the reporters had a long day as well, so I appreciate you guys. But look, the fundamental thing we got is, number one, we set up the mechanism to ensure not only the Straits of Hormuz are open, but will stay open. We saw, we think about 15 million barrels of oil come out. That's one of the reasons why oil is so low right now. Obviously that means lower gas prices and gas prices are going to keep coming down. Number two, we actually set up the right mechanism to ensure the regional ceasefire, to manage the inevitable conflicts that will come up. We feel great about that. We're working with our allies from the Israelis to the Gulf Arabs to make sure that sticks. We feel very, very good about where that is. We have the Iranians allowing weapons inspectors, nuclear inspectors into the country for the first time in a long time. We're obviously going to bolster that inspection regime to make sure they can never have a nuclear weapon. And finally, we continue to make progress on these technical negotiations. We left a lot of our team, the Iranians left a lot of their team at the resort there to keep on working at. So all in all, a very productive 36 hours. We're going to have to keep working it. The last point that I'll make is, as I told you all this morning, this is laying a foundation for what could be."
klif-am-570,77112,1782223777.3686361,1782223867.3686361,done,26918,4750,"examine the races in June that are going to affect the balance of power in November. Number one, we're beginning to move forward on some of the big issues, beginning to address some of the technical details. But I think it's important for people to understand there is a long way to go in this. There is, General Joseph Hotel, Iran, talks have begun and news is pouring out all over the talks and contradictions everywhere. We examined it all and what it means for the security of the region and why Israel's interests are our interests and we should stop letting, we should stop letting Iran tell us they're different. There's a little problem with that. You're not going to budge here. It's easy to get caught up in that podcast world, listen to these men and women rant when they're going for clicks and think to yourself, wow, you know, maybe Israel is the problem. Maybe we would have no problem in the Middle East if it wasn't for Israel. Just take a sense and take a step back in history and understand who the good guy is and understand what they do with us as a partner. I don't think it'd be replicated anywhere. It used to be Britain. It's not anymore. It used to be NATO. Not anymore. What they can do pound for pound as a military can't be duplicated except with the American military and what they do in terms of intelligence and innovation for the economy cannot be duplicated anywhere else. I think it's about time you realize that. So anytime you hear, I think JD Vance or anybody else coming out condemning Israel, I think they got to take a step back and understand they are answering Hezbollah, Hezbollah bombs."
wbap-am-820,77111,1782223771.217843,1782223861.217843,done,26917,3523,"Do is verify what they're doing focus less on what they're saying You ever hear the term You know actions speak louder than words 800-288-9227 is a phone number. I mean I live that I live that all my life My grandfather would always tell me matthew You know, you're only as good as your word Your handshake what you do how you prove? your worth If you're lazy if you complain If you don't show up If you don't do what you say People are never going to believe you. So why should we believe the state-run media today? That that's the question on the plate We are watching as half of The the press is telling you something that just does not exist It's not true Not even a little bit Why? Because they have an agenda They have a narrative They cannot Have president trump win in iran 47 years 47 years We've dealt with a terrorist regime who death to america They chanted it in their parliament or their government or whatever that is And really what we want to do"
klif-am-570,77110,1782223607.8364022,1782223697.8364022,done,26916,4720,"Number 3. They might well win the World Cup, I think after their two wins in the first two games, they have a real chance to go for it. They play at home, the crowd is behind them, the public is emotional. I mean, they're looking really great. Yeah, the FIFA president on with me an hour ago on Fox and Friends. World Cup fever running as high as ever. Soccer's greatest supporters did not predict this type of success of the World Cup and the game's most, and the world's most popular sport. So I talked to the FIFA president about it and look at the action on and off the field. Number 2. We're fascists in the White House, we're a climate denier in the White House, we're a racist and transro in the White House, are we going to let them win? Clara Valdez, a left-wing socialist, angry, angry squad member-to-be. Socialism is a hot topic on the ballot in New York City today as dem civil war is playing out in real time in front of all of us and the godfather of it all, Bernie Sanders, could not be happier. We examine the races in June that are going to affect the balance of power in November. Number 1. We're beginning to move forward on some of the big issues, beginning to address some of the technical details. But I think it's important for people to understand there is a long way to go in this. There is. General Joseph Hotel, Iran, talks have begun and news is pouring out all over the talk."
wbap-am-820,77109,1782223603.2423987,1782223693.2423987,done,26915,4859,"We're being told Iran is a quagmire, we're being told that President Trump didn't accomplish what he needed to accomplish, we're being told that Iran won the deal, we're being told that all these things are going to happen, that Iran's getting money, that they're going to go back to being terrorists, all of these things, right? Well here is JD Vance, after his deal, 36 hours by the way, it's a day and a half for those of you in Flint, doing negotiations in Switzerland. Here is the key takeaway from our Vice President, go ahead and take a listen. These negotiations that you believe that people are not always acting in good faith, have things changed over the past 36 hours during your meeting with Iran and the other mediaries? No, all I mean is, look, whether good faith or bad faith, you can't trust anybody's words, you have to trust what they actually do. Letting in the inspectors is a big deal, but again, we're going to see what they actually let the inspectors do once they're in the country, that's going to continually be a part of our negotiation. So my point is not that I trust or distrust anybody, my point is that I trust actions, and what the President has asked us to do is verify what they're doing, focus less on what they're saying. You ever hear the term, you know, actions speak louder than words? 800-288-9227 is the phone number. I mean, I lived that, I lived that all my life. My grandfather would always tell me, Matthew, you know, you're only as good as your word. Your hands shake what you say."
klif-am-570,77108,1782223524.8357735,1782223614.8357735,done,26914,5190,"Down is going to be slow from the George Bush down to Valwood, a 15-minute trip because of a wreck at Valwood blocking that left lane. They've also got road construction up in Sunnyvale, East Mountain Highway 80 between Lawson and Clements in the right lane. So far, we're seeing a five-minute delay from East Fork with KLIF Right Now traffic. I'm Michael Scott. Your 570 KLIF forecast. Today, partly cloudy with a slight chance of isolated showers and thunderstorms anytime. That's good through 7 or 8 this evening. High this afternoon 95, winds out of the south 5 to 10, partly cloudy in 79 overnight. Tomorrow Wednesday, mostly sunny, breezy, hot and humid with a high of 96 and feel like 103 in the shade. Winds south 10 to 15. Thursday, mostly sunny, windy and hot with a high near 96, heat stress index up to 106. Winds out of the south gusting to 30 miles per hour. And on Friday, sunny, windy and hot with a high of 97. And on Saturday, we could reach 100 degrees. I'm meteorologist Brad Barton. Your next news update with Fox News in 30 minutes. Breaking news 24-7 at KLIF.com and our free mobile app. 570 and 96.3 FMHD2 KLIF. Go behind the scenes and beyond the headlines with people like John Cena."
