company_name,website,phone,detections,stations,vertical,reason_for_review
PureTalk,connecticutsa.com; ttt.org,2106567873; 25064276; 8009417326,32,klif-am-570; ktrh-am-740; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Auto Accident Help Desk,,8007474070; 807474070,24,whbo-1040,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Mark Spain Real Estate,marksbane.com; markspain.com; markspainrealestate.com; markspane.com,8444843872,23,klif-am-570; wbap-am-820; wsb-am-750; wwtn-fm-997,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Webroot,"joe-pags.com; joepags.com, webroot.com/slash pags; webroot.com/dana; webroot.com/pags; webroot.com/save; webroot.com/slash dana; webroot.com/slash-dana; webroot.com/slash-pags",8335637247,15,ktrh-am-740; wbap-am-820; wibc-fm-931,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
HealthyLooking.com,"beyondbelief.com, coasttocoastam.com; healthylooking.com",8005633980,15,klif-am-570; ktrh-am-740; wibc-fm-931; woai-am-1200; wsb-am-750,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Orchard,orchard.com,,14,ktrh-am-740; woai-am-1200,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Comcast Business,,8720751800932,12,wibc-fm-931; wsb-am-750; wwtn-fm-997,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Pure Talk,,2505375453,12,klif-am-570; wbap-am-820; woai-am-1200; wsb-am-750; wwtn-fm-997,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Patriot Mobile,patriot mobile comm slash events; patriot mobile.com/slash dana; patriotmobile.com; patriotmobile.com/beck; patriotmobile.com/slash vince; patriotmobile.com/vince,9727287468; 9728476262,11,kabc-am-790; klif-am-570; wibc-fm-931; woai-am-1200,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Simple Quarters,,3176874663; 3176874667,8,wibc-fm-931,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Shell Rotella,rotella.com/longhaul,8669073339,8,kabc-am-790; wbap-am-820; whbo-1040; wwtn-fm-997,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Empower Home Team with Keller Williams,ehhoustonasthebuyers.com; ehhoustonhasthebuyers.com; harkerhasthebuyers.com,8446727653; 84489776538448977653; 8554777653,7,klif-am-570; ktrh-am-740; wbap-am-820,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Advanced Hair,advancedhair.com,4695994273; 4706604247; 4706608,7,wbap-am-820; wsb-am-750,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
Native Path,getnativepath.com; getnativepath.com/slash vince; getnativepath.com/vince,,7,kabc-am-790; klif-am-570,unknown_general_review,"Legitimate company, non-financial. Optional archive review."
