station,detection_id,company,classification,evidence,offer_snippet,text_snippet
woai-am-1200,4086,Kinetico of San Antonio,false_positive,known non-loan advertiser: kinetico of san antonio,"free consultation, water analysis, interest-free financing","turning 250 and iHeartRadio is celebrating with $250,000 in cash weekdays through July 4th listen fo"
woai-am-1200,4069,World Car Kia,false_positive,known non-loan advertiser: world car kia,"hot deals on wheels, 0% financing, trade-in offers","Okay. All right. I'll look at that. That gives me a good, I mean, a head start. I got underneath the"
woai-am-1200,4015,(unnamed),home_service_not_loan,matched 'roofing' in combined text,,Cambridge auto center serving all your automobile needs on every make and model plus a three year 36
woai-am-1200,4013,Connecticut S A,unknown,has company 'connecticut s a' but no clear loan signal,,live stock and pets for wounds and reporting suspected cases. I'm Erica Smith from the W. A. I. Traf
woai-am-1200,4010,CF moto,unknown,has company 'cf moto' but no clear loan signal,financing for motorcycles as low as 2.99% APR,"dot com. See the 2026 CF moto lineup at Family Power Sports Alamo, including the U10 Pro Z Force 905"
woai-am-1200,3979,Kia,false_positive,known non-loan advertiser: kia,0% financing on Kia vehicles and free consultation,with your Husker thoughts. Here's a look at what you can do with the Kia Celebrity Summit departing 
woai-am-1200,3930,(unnamed),unknown,no clear signal,,"Here's one of the real good guys in the car business, Darryl Dixon, the general manager at Ansera, W"
woai-am-1200,3731,(unnamed),unknown,no clear signal,"$2,500 for an American getaway","Kentucky and southern Illinois. There will also be a chance of severe storms Monday, moving into the"
woai-am-1200,3655,(unnamed),auto_not_loan,matched 'car financing' in combined text,"car financing and discounts, tractor packages with discounts","As you would do a peach or a plum, a blackberry, or any of the other perennial crops, that $40 or $5"
woai-am-1200,3606,(unnamed),unknown,no clear signal,"discounts on tractors and motorcycles, financing options",tuxedo our contour that's correct go and check it out we just talked about trees and um you know pla
woai-am-1200,3584,(unnamed),unknown,no clear signal,,"150 and I heart radio is celebrating with $250,000 in cash weekdays through July 4th. Listen for you"
woai-am-1200,3567,"Wilco Hyundai, World Car Hyundai North, World Car Hyundai South",false_positive,"known non-loan advertiser: wilco hyundai, world car hyundai north, world car hyundai south",car financing and warranty offers,Westbound before couples. We have high water that has the two left lanes blocked off. I'm Alexis New
woai-am-1200,3560,KineticoSA,false_positive,known non-loan advertiser: kineticosa,,declaration has prevented us from progressing to higher forms of government. But we were fortunate n
woai-am-1200,3491,(unnamed),supplement_not_loan,matched 'viome' in combined text,various business and health services,nothing is faster than audio with I heart. Let us help you reach the audience you need to grow your 
woai-am-1200,3466,(unnamed),unknown,no clear signal,,"News Radio 1200, W-O-A-I. Don't buy or you owe too much and your payments are too high? Then now's t"
woai-am-1200,3438,(unnamed),unknown,no clear signal,,"and get a chance to win the $500,000 gift card card shop. Remember, nobody beats the sergeant. You'r"
woai-am-1200,3405,Wilco Hyundai,false_positive,known non-loan advertiser: wilco hyundai,car financing deals,"When traffic comes to a halt, right now we have a blockade. All lanes are blocked. Nothing is gettin"
woai-am-1200,3367,(unnamed),unknown,no clear signal,,"best 10 year 100,000 mile warranty and Hyundai owner's assurance. Get upfront posted pricing and a g"
woai-am-1200,3352,"Rock's Discount Vitamins, World Car Kia, CertaPro Painters, Precision Windows",false_positive,"known non-loan advertiser: rock's discount vitamins, world car kia, certapro painters, precision windows",various home and business services with lifetime warranties and financing options,"And if you have a trade, now's the time to trade up. Plus, everyone gets a lifetime warranty and lif"
woai-am-1200,3289,Precision Windows,false_positive,known non-loan advertiser: precision windows,"energy-efficient windows, siding, patio covers",Reliance providing cooling centers and other resources across the Houston area as the summer heat se
wsb-am-750,4043,Claims Chaser,legal_not_loan,matched 'attorney' in combined text,legal consultation for injury claims,7 3381 with purchase and installation financing through third-party lenders subject to credit approv
wsb-am-750,4023,Endurance,false_positive,known non-loan advertiser: endurance,"auto protection on the drive train, AC, and more for $10,000+ credit card debt relief",sara.com slash today to reduce risk and stop false claims with clear evidence. Coverage varies by pl
wsb-am-750,3758,"Peach State Hardwood Floors, NG Turf, Breda Pest Management",false_positive,"known non-loan advertiser: peach state hardwood floors, ng turf, breda pest management","sod and flooring discounts, termite protection","Not everything in life comes with a guarantee, but with NG Turf, get premium local farm fresh sod ri"
wsb-am-750,3676,Peach State Hardwood Floors,false_positive,known non-loan advertiser: peach state hardwood floors,"$1,000 off floor replacement with 12 months of 0% financing","Your time is important, and my friends at Cars4Kids respect your time. Hey, as Shelley went to Cars4"
wsb-am-750,3617,Finley Roofing,false_positive,known non-loan advertiser: finley roofing,"upfront pricing and zero percent financing for roofing, windows and doors",Senior adults ready to spend more time enjoying life and less time worrying about home upkeep and da
wsb-am-750,3495,Findlay Roofing,tax_relief_not_loan,matched 'irs' in combined text,roof replacement with 0% financing,"those leaks from years of wear and tear. After storms like this, think of Findlay first. They've rep"
wsb-am-750,3472,Gemellus Automotive Group,unknown,has company 'gemellus automotive group' but no clear loan signal,vehicle financing and shopping,"Buying your next car is easy with the Gemellus Expressway. Hi, I'm Stacey Ellis, Vice President of G"
wsb-am-750,3398,Debt Relief Advocates,true_loan,known loan advertiser: debt relief advocates,"15% off order, debt relief for $10K+ credit card/debt",A-R-N-I-B-O-R-A dot com. Use coupon code GEORGE to get 15% off your order. Do you owe ten thousand d
wsb-am-750,3371,(unnamed),true_loan,loan pattern in offer: 'personal loan',"personal loans up to $5,000 for various credit types","control of your own life. Become your own boss. We don't have to be poor. Get out of debt, repair yo"
wsb-am-750,3260,The National Foundation for Credit Counseling,nonprofit_not_loan,matched 'foundation' in combined text,,"Life can hit you with the unexpected, the loss of a job, a sudden illness, a dramatic jump in your m"
wsb-am-750,3079,Loud Security Systems,false_positive,known non-loan advertiser: loud security systems,three months free monitoring,"guard response, even smart access control. Plus fully managed life safety systems, fire alarm, and f"
wsb-am-750,2942,Coosa Valley Credit Union,nonprofit_not_loan,matched 'donate' in combined text,auto loan with low APR,"I'll put this off, I've done it. Call Virtual Imaging today for your free heart scan. 770-678-SCAN. "
wsb-am-750,2763,Finley Roofing,false_positive,known non-loan advertiser: finley roofing,,You can't teach an old dog new tricks? Oh really? Rufus loves new tricks. It's Ashley Frasca for Fin
wibc-fm-931,4027,Upside-App,tax_relief_not_loan,matched 'irs' in combined text,cash back on gas purchases with promo code FREEDOM,Upside-App now to earn cash back when you fill your tank. Use promo code FREEDOM to get an extra $0.
wibc-fm-931,3903,(unnamed),unknown,no clear signal,zero down financing for vehicles,"More headed this summer, Hubler's got you covered with the best warranty around. So let's celebrate "
wibc-fm-931,3879,Hubler Toyota,false_positive,known non-loan advertiser: hubler toyota,leasing and financing deals for new Toyotas,"Shop Corollas, Tacomas, Rav-4s, Tundras, and more! Lease a new 2026 Camry LE, $2.89 per month, just "
wibc-fm-931,3864,Thompson Furniture and Mattress,false_positive,known non-loan advertiser: thompson furniture and mattress,"inventory reduction sale with up to 30% off, free delivery, interest-free financing",settlers named not one but two communities after him. More than a third of Indiana's 92 counties bea
wibc-fm-931,3821,(unnamed),unknown,no clear signal,,"on in-stock mattresses, recliners, outdoor furniture, and more. Everything from the Smith Brothers, "
wibc-fm-931,3782,Hubler,false_positive,known non-loan advertiser: hubler,zero down auto financing and coverage,"to stop others from invading your yard. 317-783-2222. No matter where you're headed this summer, Hub"
wibc-fm-931,3694,Hubler Toyota,false_positive,known non-loan advertiser: hubler toyota,new Camrys for $289 per month,"Hubler, Hubler's got you covered Celebrate 250 years of freedom at Hubler Toyota 8055 US 31 South in"
wibc-fm-931,3378,Farnsworth Metal Recycling and Raised Demolition,false_positive,known non-loan advertiser: farnsworth metal recycling and raised demolition,cash for scrap metal,35 a.m. and 4.35 p.m. The revolution gets a little closer to home on 93 WIBC. Don't miss the Dancing
wibc-fm-931,3370,(unnamed),unknown,no clear signal,,"whatever you like. I'm ready for it. So lock the doors, dim the lights, and stay with us because the"
wibc-fm-931,3272,(unnamed),tax_relief_not_loan,matched 'irs' in combined text,,"That's 317-687-H-O-M-E. 250 years ago, the number 13 became legendary, 13 colonies with one bold vis"
wibc-fm-931,3204,Hubler,false_positive,known non-loan advertiser: hubler,zero down auto financing,"Shopping online, it's easy to say, but if you haven't heard of the retailer, be a little suspect, ne"
wibc-fm-931,3192,(unnamed),unknown,no clear signal,,You have heard the old adage or old saying that fathers knows best. Now I do know you can gain a lot
wibc-fm-931,3111,(unnamed),unknown,no clear signal,Zero Down financing for vehicles,Don't wait any longer for the kitchen you've been dreaming of. Request a consultation at BoolerRemod
wibc-fm-931,2736,Farnsworth Metal Recycling,false_positive,known non-loan advertiser: farnsworth metal recycling,cash for scrap metal,They're looking at their phone phones on their phones not paying attention phones I'm not a mathemat
wibc-fm-931,2614,Knig Equipment,false_positive,known non-loan advertiser: knig equipment,tractor packages with financing options,"is tough, you need equipment that keeps you moving. At Knig Equipment, our ready to go John Deere tr"
wibc-fm-931,2525,Ascension Island Mint,false_positive,known non-loan advertiser: ascension island mint,limited-time gold coin offer,"But did you know they'll pay you cash for your scrap? Aluminum, steel, copper, brass. Cash is king. "
wibc-fm-931,2399,Mark Deal Realty,unknown,has company 'mark deal realty' but no clear loan signal,fast cash offer,i want to see how the sausage is made so i'm showing up drink in hands that much is happening sir ap
wibc-fm-931,2315,(unnamed),nonprofit_not_loan,matched 'foundation' in combined text,credit card balance reduction and consultation,His world changed when he was adopted at 15 with help from the Dave Thomas Foundation for Adoption. 
wibc-fm-931,2256,Debt Relief Advocates,true_loan,known loan advertiser: debt relief advocates,free debt reduction information,"Oh, this is not bankruptcy or a debt consolidation loan. This is a relief program that credit card c"
wibc-fm-931,2254,Debt Relief Advocates,true_loan,known loan advertiser: debt relief advocates,,So I had an appointment with the surgeon and he told me what all he was going to do and it was just 
klif-am-570,3870,"Mark Spain Real Estate, Empower Home Team",false_positive,"known non-loan advertiser: mark spain real estate, empower home team",guaranteed cash offer for home sales,"One client, Brenda, said the team made a sale of her home smooth from start to finish, the professio"
klif-am-570,3789,Maritz Kia,false_positive,known non-loan advertiser: maritz kia,0% APR on new Kia vehicles with bonus cash,"along with the customer service Maritz is famous for. It's our summer sticker sales event, and with "
klif-am-570,3787,Freeman Toyota and Hurst,false_positive,known non-loan advertiser: freeman toyota and hurst,monthly financing for various Toyota models,"Get your pencil out now, because you're going to want to write this down. Hello, I'm Dane Miner, Gen"
klif-am-570,3739,(unnamed),tax_relief_not_loan,matched 'tax' in combined text,finance a new Honda Civic for $369 per month,just for us because they make honda of debt inconvenient to all of north texas and southern oklahoma
klif-am-570,3720,Freeman Toyota,false_positive,known non-loan advertiser: freeman toyota,monthly financing offers for various Toyota models,"in West Fort Worth, Highway 10 at Loop 820 in Hurst, or Golden Triangle at I-35 in Alliance. 0% for "
